"Team","Expected_Wins","E95_Wins","E05_Wins"
"San Diego Padres",109.9,124.8,91.8
"New York Yankees",105.7,120.7,89.5
"Los Angeles Dodgers",104,124.5,81.3
"New York Mets",103.9,122.2,85
"San Francisco Giants",100.9,111,90
"Detroit Tigers",100,120,79.8
"Chicago Cubs",95.2,121.7,64.9
"Philadelphia Phillies",94.5,114.6,73.5
"St. Louis Cardinals",89.5,110.6,67.1
"Cincinnati Reds",88.2,101.8,74.3
"Arizona Diamondbacks",87.4,100.1,74.2
"Tampa Bay Rays",85.9,102.7,70.1
"Boston Red Sox",83.9,98.7,69
"Houston Astros",81.7,100.8,61.7
"Cleveland Guardians",80,97.7,63.4
"Kansas City Royals",79,93.2,64.4
"Seattle Mariners",78.7,103.5,54
"Baltimore Orioles",73.6,106.2,42.1
"Texas Rangers",72.8,86.2,59.7
"Athletics",72,95.9,49.3
"Toronto Blue Jays",70.7,95.2,47.6
"Chicago White Sox",70.6,105.4,35.9
"Milwaukee Brewers",70.5,103.4,41.2
"Atlanta Braves",70.5,93.7,49.8
"Minnesota Twins",68.9,97.2,44.4
"Washington Nationals",63.4,78,49.3
"Miami Marlins",63.2,75.3,50.6
"Los Angeles Angels",62.7,89.9,38.8
"Pittsburgh Pirates",56.9,68,46.5
"Colorado Rockies",37.5,49.1,27.7
